id,year,engine_size,fuel_efficiency,horsepower,price
776,2020,2.1,11.9,174,24583
777,2023,2.2,9.9,144,28142
778,2020,2.1,10.8,152,26137
779,2014,1.7,16.7,147,17037
780,2013,1.4,12.8,123,14920
781,2023,2.3,12.8,157,26598
782,2020,1.3,18.4,101,19297
783,2021,1.7,18.0,129,20962
784,2019,1.4,18.9,102,17713
785,2023,2.0,16.7,130,22719
786,2017,1.4,20.8,91,18199
787,2012,1.7,20.8,110,16727
788,2017,2.3,11.5,168,24872
789,2021,2.2,18.9,141,23914
790,2017,1.6,20.3,110,15467
791,2014,1.2,13.6,104,15444
792,2022,1.0,12.8,76,19396
793,2019,1.6,13.8,117,19530
794,2021,2.4,10.4,153,28735
795,2019,1.0,13.7,74,17251
796,2012,1.2,20.2,101,11809
797,2012,1.6,15.7,145,15976
798,2019,1.8,11.3,155,24845
799,2012,1.4,16.6,98,13621
800,2022,2.4,18.1,175,27647
801,2015,1.7,19.6,105,14239
802,2012,1.8,12.6,146,16650
803,2014,1.8,19.2,100,10646
804,2017,2.3,16.4,168,24297
805,2021,2.3,18.6,141,25850
806,2013,1.9,18.9,125,14009
807,2017,1.5,16.0,114,16446
808,2018,2.3,10.8,170,22732
809,2022,2.4,14.7,184,27273
810,2012,2.2,14.9,128,16213
811,2022,2.4,20.3,200,28456
812,2021,1.3,14.0,94,20753
813,2019,1.1,15.2,64,16189
814,2022,2.1,17.4,125,24382
815,2017,1.4,20.8,100,14952
816,2021,1.6,14.0,108,19269
817,2015,1.1,17.2,76,14291
818,2023,1.7,17.5,95,23226
819,2023,1.0,17.4,89,19101
820,2022,1.6,16.4,122,21799
821,2013,1.2,22.7,81,10208
822,2013,1.3,16.7,97,13034
823,2023,1.8,19.4,104,22838
824,2013,2.1,10.3,166,19125
825,2014,1.1,12.1,71,12459
826,2017,1.0,18.3,92,13565
827,2012,1.7,10.8,95,12855
828,2022,1.2,17.7,90,20839
829,2012,2.4,10.2,150,19006
830,2021,1.1,13.9,99,17206
831,2019,2.0,20.2,155,22402
832,2019,1.5,13.1,99,20825
833,2023,2.2,14.0,153,27805
834,2021,2.5,12.4,158,25440
835,2018,2.4,17.6,163,22315
836,2021,1.0,17.4,65,18328
837,2022,1.0,19.1,87,18433
838,2021,1.7,13.3,128,23084
839,2023,2.5,12.6,163,32781
840,2018,2.2,16.3,175,25784
841,2014,1.8,11.2,102,16472
842,2021,1.7,14.8,100,22237
843,2015,2.0,14.7,144,19487
844,2017,1.8,11.6,129,17707
845,2012,2.3,14.0,158,18889
846,2021,2.0,18.2,110,23805
847,2020,1.6,18.5,103,19682
848,2020,2.1,15.8,158,23491
849,2019,1.6,12.5,128,22846
850,2018,1.6,13.9,110,19709
851,2022,1.3,15.8,81,21181
852,2013,2.4,9.8,183,21043
853,2013,1.9,18.3,131,14394
854,2019,1.9,16.2,156,25483
855,2016,2.5,11.2,211,25115
856,2017,1.8,13.3,139,22270
857,2019,1.6,13.5,125,22587
858,2012,1.8,16.7,142,16139
859,2019,1.5,11.7,107,21370
860,2012,1.2,20.9,78,11498
861,2017,2.5,19.1,169,22404
862,2021,1.3,13.7,108,20839
863,2017,1.8,11.1,119,21257
864,2022,1.9,13.3,153,26127
865,2021,1.6,12.4,97,19662
866,2023,2.3,15.3,185,30121
867,2022,1.1,20.7,97,20103
868,2013,2.1,16.2,159,19849
869,2014,1.7,14.8,133,19469
870,2023,1.1,13.7,80,17551
871,2015,1.6,12.8,102,16278
872,2022,1.1,13.9,77,20339
873,2014,2.0,18.7,126,14852
874,2013,1.3,18.7,95,15875
875,2018,1.1,17.2,101,17928
876,2022,1.7,12.8,118,21091
877,2020,2.0,17.6,159,23976
878,2012,1.0,18.9,63,8841
879,2015,2.4,15.4,150,20380
880,2015,1.2,15.3,83,16230
881,2012,1.1,20.8,91,9267
882,2019,1.8,19.9,126,22500
883,2017,1.6,14.8,113,19953
884,2014,1.4,14.0,85,15001
885,2012,1.8,14.8,151,17449
886,2015,2.4,18.2,157,22197
887,2017,2.0,15.6,154,20608
888,2017,1.6,16.3,107,18582
889,2023,1.1,20.8,72,20627
890,2020,2.0,19.2,137,23312
891,2023,2.0,11.8,144,24371
892,2023,2.3,18.2,177,27923
893,2019,1.9,15.1,142,21863
894,2018,1.5,21.2,102,16995
895,2012,2.0,16.4,179,18948
896,2022,2.3,17.3,152,23694
897,2015,2.2,12.7,163,23918
898,2012,1.5,15.0,119,14490
899,2015,1.3,14.4,94,13570
900,2015,1.7,13.4,114,15969
901,2018,1.7,11.3,138,22898
902,2015,1.0,16.4,61,10573
903,2020,1.3,19.1,97,19685
904,2018,1.7,16.9,153,20161
905,2017,1.8,19.7,131,18244
906,2012,1.2,14.4,76,12048
907,2016,2.3,12.3,172,22419
908,2013,1.9,16.0,133,18331
909,2023,2.1,19.2,173,26487
910,2012,2.0,14.0,120,17459
911,2014,1.8,13.2,145,19618
912,2013,1.2,21.2,83,12400
913,2018,2.2,13.0,189,25087
914,2023,2.4,17.6,155,26662
915,2021,2.4,10.7,164,27063
916,2015,1.8,18.4,115,15194
917,2014,2.2,12.2,141,19740
918,2021,1.3,19.3,112,19435
919,2020,1.3,12.7,96,17248
920,2019,1.4,14.1,109,19213
921,2016,2.2,18.6,140,18898
922,2013,2.0,15.5,142,18415
923,2012,2.3,11.8,172,19534
924,2014,2.1,12.8,141,20780
925,2016,1.1,15.9,69,14816
926,2023,1.9,21.0,142,27129
927,2020,1.6,17.9,112,18839
928,2019,2.4,13.1,172,28248
929,2017,1.5,12.0,110,19233
930,2022,2.5,12.7,196,29922
931,2022,2.0,14.8,155,26400
932,2023,1.2,15.1,100,24911
933,2015,1.1,15.0,89,13151
934,2015,2.2,12.5,125,19617
935,2020,2.3,10.4,147,24436
936,2017,1.2,16.7,92,15247
937,2018,1.9,18.1,119,18373
938,2014,2.3,17.0,131,16997
939,2018,1.8,14.3,145,22005
940,2012,1.5,17.9,135,13924
941,2023,2.5,12.1,177,32696
942,2023,2.3,20.3,204,27372
943,2022,2.0,18.1,126,26080
944,2016,1.5,14.5,107,16784
945,2013,1.4,19.3,131,14788
946,2014,1.6,20.2,97,14362
947,2018,1.9,16.4,106,21112
948,2012,1.0,15.1,82,9831
949,2014,1.0,13.3,64,10453
950,2023,1.5,19.0,105,23918
951,2017,1.0,14.8,65,14878
952,2018,2.1,11.0,134,23182
953,2016,2.4,15.4,193,25394
954,2021,1.1,11.9,87,19310
955,2013,1.4,16.5,92,13878
956,2020,2.5,17.3,199,30990
957,2015,1.1,17.0,89,13179
958,2014,1.2,21.0,96,11960
959,2022,1.5,11.5,125,23492
960,2014,2.1,18.1,137,17699
961,2019,2.4,13.2,201,26272
962,2015,1.8,15.2,134,19280
963,2021,1.7,13.4,119,23991
964,2018,2.3,11.4,159,23860
965,2014,1.6,20.5,93,13260
966,2018,2.1,19.6,142,22077
967,2016,2.1,13.2,170,21858
968,2012,1.7,16.2,108,10737
969,2014,2.0,19.2,141,17794
970,2021,1.3,15.3,82,21942
971,2012,1.1,15.3,63,10700
972,2017,2.2,12.0,128,17912
973,2021,1.5,15.6,124,21489
974,2023,2.1,17.0,183,29997
975,2020,1.8,19.2,133,21605
976,2020,1.1,17.9,85,18859
977,2022,1.5,13.5,112,24119
978,2013,1.2,18.9,79,11781
979,2019,2.4,18.3,146,25120
980,2022,1.1,17.4,75,17399
981,2017,2.0,15.1,130,23314
982,2014,1.8,11.0,134,17013
983,2012,2.4,14.8,158,20499
984,2012,2.1,18.4,135,16271
985,2022,2.0,11.3,153,26608
986,2015,1.4,19.0,101,14880
987,2018,1.9,10.7,147,24334
988,2023,2.1,12.1,161,25842
989,2023,1.9,17.1,123,22848
990,2018,1.5,14.7,124,20080
991,2014,1.3,18.8,73,10306
992,2014,1.8,17.7,117,17287
993,2016,1.6,20.3,129,17729
994,2012,1.2,15.3,92,14155
995,2018,1.3,16.1,106,17740
996,2018,1.9,12.8,149,19685
997,2012,2.4,17.5,154,20015
998,2012,1.4,14.5,108,12540
999,2012,1.7,12.0,114,14375
1000,2012,2.3,19.8,161,19113
1001,2018,1.9,17.6,151,23611
1002,2012,1.4,13.1,113,14659
1003,2021,1.8,19.6,116,22165
1004,2015,1.8,19.2,154,17216
1005,2021,1.8,15.9,150,27373
1006,2018,1.4,19.7,103,15822
1007,2016,2.2,11.4,137,21298
1008,2021,2.1,14.5,171,26748
1009,2013,1.6,15.3,140,16016
1010,2017,1.9,10.2,142,23204
1011,2018,1.6,18.8,105,20679
1012,2015,1.9,20.3,154,20662
1013,2016,2.1,15.1,160,22241
1014,2012,1.1,20.5,67,9864
1015,2013,2.3,17.1,174,18371
1016,2013,1.9,13.3,152,18633
1017,2017,2.2,18.4,170,21796
1018,2023,2.1,14.8,176,30035
1019,2020,2.1,12.5,135,22736
1020,2022,1.7,14.2,125,23433
1021,2018,1.8,18.1,138,19447
1022,2012,1.5,12.3,114,14996
1023,2012,1.3,20.3,75,11604
1024,2016,1.8,14.3,128,20474
1025,2016,1.5,16.6,126,21491
1026,2012,2.4,10.5,153,20108
1027,2014,1.8,12.5,127,19501
1028,2021,2.1,18.7,139,24796
1029,2022,1.6,20.6,113,23321
1030,2019,1.1,17.5,77,18883
1031,2020,1.1,11.8,73,17715
1032,2014,1.8,11.1,156,19156
1033,2019,1.1,20.8,74,13631
1034,2017,1.8,17.5,122,19607
1035,2023,1.2,16.8,91,21980
1036,2013,2.4,15.7,145,20152
1037,2017,2.4,10.7,177,25608
1038,2020,2.5,17.8,183,28550
1039,2018,1.8,13.6,133,21095
1040,2021,1.7,18.7,103,21222
1041,2017,1.8,20.0,126,20055
1042,2020,1.0,13.3,84,16577
1043,2019,1.7,20.1,122,20391
1044,2022,1.0,12.5,52,16962
1045,2019,1.5,12.6,123,21267
1046,2013,1.6,16.0,126,12366
1047,2020,1.6,13.4,117,17762
1048,2014,1.7,15.8,98,17014
1049,2014,2.3,18.8,129,16716
1050,2021,1.6,11.7,105,23554
1051,2023,1.3,19.0,107,24354
1052,2015,1.6,13.4,116,17735
1053,2017,2.1,16.4,145,20582
1054,2014,1.7,19.4,129,19046
1055,2016,2.3,17.6,165,22399
1056,2018,1.1,18.3,85,18331
1057,2018,1.0,13.3,60,17654
1058,2023,2.5,13.4,143,26322
1059,2013,2.3,17.5,185,17633
1060,2017,1.7,14.5,114,17939
1061,2017,2.4,16.0,145,22903
1062,2013,2.4,16.9,148,19469
1063,2023,2.5,13.1,169,31015
1064,2014,2.3,15.8,207,22354
1065,2020,1.6,16.9,103,19911
1066,2015,1.7,19.8,128,15117
1067,2020,2.0,21.1,174,22430
1068,2018,2.4,16.8,156,24232
1069,2021,1.2,11.9,86,21117
1070,2015,1.3,20.4,103,13643
1071,2021,2.1,15.6,130,26888
1072,2013,2.2,15.2,142,19850
1073,2013,1.6,19.7,121,13594
1074,2012,1.4,18.0,85,11394
1075,2014,1.7,17.9,124,16557
1076,2023,1.6,14.8,114,22297
1077,2018,1.2,13.2,90,16298
1078,2018,1.7,18.7,124,20445
1079,2017,1.8,20.3,146,21788
1080,2013,1.2,18.2,87,13478
1081,2017,1.2,19.6,80,14484
1082,2021,2.5,10.4,170,30153
1083,2014,1.6,12.9,115,12926
1084,2013,2.1,11.2,137,18461
1085,2016,2.0,11.5,168,22847
1086,2015,1.4,17.4,107,15786
1087,2017,1.1,15.0,77,15561
1088,2014,1.1,18.8,75,10743
1089,2022,1.5,12.4,109,23525
1090,2015,1.2,16.7,85,8841
1091,2012,1.7,17.7,114,11937
1092,2015,2.0,13.2,127,19221
1093,2012,1.4,13.6,103,12954
1094,2021,1.0,18.8,69,16794
1095,2017,1.5,11.1,120,18246
1096,2013,1.2,19.7,74,10928
1097,2020,1.5,11.1,100,17511
1098,2015,1.2,21.6,100,14053
1099,2017,1.2,17.3,71,15239
1100,2016,2.1,16.9,151,19545
1101,2013,2.0,13.9,171,18508
1102,2014,2.2,20.5,183,19887
1103,2019,1.3,16.2,73,18587
1104,2023,1.5,18.0,111,22857
1105,2015,1.5,16.1,95,15395
1106,2012,1.6,14.9,110,11151
1107,2022,1.2,16.3,104,23075
1108,2019,1.3,20.7,100,19749
1109,2013,1.3,12.5,94,13523
1110,2017,1.3,14.1,81,17796
1111,2013,2.0,12.1,157,17716
1112,2020,1.7,19.1,96,21846
1113,2017,1.6,14.6,85,16434
1114,2016,2.2,15.7,169,20039
1115,2016,2.3,11.2,145,22611
1116,2015,2.3,11.4,168,20495
1117,2016,1.7,17.9,136,17457
1118,2015,2.0,15.0,149,19185
1119,2022,1.3,11.9,100,22990
1120,2023,2.0,13.7,158,27307
1121,2017,2.5,13.0,181,24080
1122,2017,2.4,14.6,188,24270
1123,2018,1.6,14.5,98,18168
1124,2022,2.1,15.7,139,24600
1125,2017,1.2,13.5,75,14448
1126,2019,1.7,13.5,120,19691
1127,2015,1.6,14.7,111,17360
1128,2019,1.5,14.2,91,20131
1129,2014,1.7,14.3,145,17392
1130,2018,2.0,16.0,160,22882
1131,2016,1.7,14.9,118,18231
1132,2021,1.8,12.2,142,20633
1133,2023,2.4,11.2,207,28910
1134,2023,1.1,20.4,88,18411
1135,2019,1.8,13.0,109,21654
1136,2012,1.9,13.8,151,15169
1137,2019,2.3,14.3,138,22646
1138,2014,1.7,17.5,125,14798
1139,2019,1.7,20.8,143,21249
1140,2020,1.9,12.8,118,24477
1141,2015,2.0,16.5,151,18766
1142,2023,1.2,21.0,110,21249
1143,2021,2.0,19.0,134,25067
1144,2022,1.4,15.8,89,20065
1145,2023,1.6,19.2,103,23137
1146,2013,2.0,12.4,130,15946
1147,2015,1.3,19.1,101,17599
1148,2014,1.2,17.1,95,10671
1149,2021,1.7,15.9,134,22150
1150,2019,2.0,14.6,165,23420
1151,2019,2.5,10.9,215,28826
1152,2014,2.3,16.4,148,18910
1153,2018,1.6,16.4,117,20258
1154,2022,1.9,18.1,143,24091
1155,2020,1.8,17.9,121,20867
1156,2014,2.4,10.5,169,17473
1157,2015,1.3,16.2,81,13947
1158,2019,2.4,11.6,140,24652
1159,2014,2.4,10.5,140,18944
1160,2023,1.2,20.6,80,21624
1161,2013,1.9,12.5,128,19616
1162,2023,1.0,11.8,60,19430
1163,2019,1.7,13.2,117,23470
1164,2017,1.1,20.4,86,12897
1165,2016,2.1,18.5,173,23248
1166,2023,1.6,17.7,139,23948
1167,2019,2.0,15.4,144,18762
1168,2022,1.1,17.0,73,16232
1169,2013,2.1,15.5,138,17869
1170,2023,1.3,12.9,89,20218
1171,2020,1.6,13.5,126,22655
1172,2016,2.2,13.9,127,19281
1173,2018,1.7,14.5,118,19425
1174,2023,1.5,14.3,115,21796
1175,2019,1.0,15.4,62,15758
1176,2021,2.1,14.4,153,23910
1177,2012,1.2,13.1,77,13481
1178,2015,1.6,11.4,129,17260
1179,2018,2.3,16.4,168,25553
1180,2014,1.4,14.3,91,12493
1181,2017,2.3,9.9,172,25106
1182,2018,1.4,18.6,120,16987
1183,2015,1.4,16.1,116,15168
1184,2020,2.4,20.8,170,23707
1185,2020,1.7,19.5,115,22155
1186,2019,1.8,14.2,141,21233
1187,2012,2.4,13.9,201,17878
1188,2015,1.6,20.0,92,12628
1189,2020,1.1,13.6,75,18554
1190,2019,1.2,15.9,58,16548
1191,2023,1.7,17.1,121,23744
1192,2012,1.0,20.1,77,9114
1193,2015,2.1,18.1,128,18903
1194,2012,1.5,15.5,104,12449
1195,2017,2.2,14.4,172,23984
1196,2017,1.5,17.9,96,18507
1197,2018,2.2,20.4,153,23528
1198,2020,2.1,11.1,160,24009
1199,2012,1.6,17.1,110,11996
1200,2022,2.1,14.1,178,29739
1201,2014,2.4,12.2,180,21372
1202,2023,2.4,13.3,174,29657
1203,2013,1.8,13.7,156,18588
1204,2022,1.2,22.0,81,18405
1205,2012,1.4,14.0,87,12069
1206,2015,1.2,16.5,106,16434
1207,2018,1.5,15.6,125,18551
1208,2012,2.1,20.1,161,15556
1209,2013,1.4,16.9,99,13261
1210,2021,1.5,19.9,99,20165
1211,2018,1.3,17.3,80,13996
1212,2023,1.0,20.6,61,20970
1213,2017,2.0,11.9,163,22668
1214,2017,1.7,18.1,119,18028
1215,2017,2.5,11.5,154,26646
1216,2016,2.3,10.8,153,23144
1217,2019,1.8,14.2,113,20546
1218,2023,2.4,14.3,153,27803
1219,2019,1.9,17.7,160,22675
1220,2022,1.6,18.3,126,25584
1221,2015,1.4,20.1,103,15641
1222,2021,1.3,16.4,107,22829
1223,2020,1.1,18.5,84,18340
1224,2023,1.2,17.2,108,24427
1225,2020,1.2,16.3,91,18952
1226,2019,1.4,14.0,79,17545
1227,2014,1.8,17.3,131,17262
1228,2016,1.5,20.8,126,14929
1229,2021,2.2,19.6,180,27626
1230,2018,1.2,16.3,112,17198
1231,2014,2.0,20.0,166,18649
1232,2022,1.5,20.4,104,20230
1233,2012,1.4,15.1,113,10724
1234,2020,1.7,21.1,104,19802
1235,2022,1.2,15.7,84,18385
1236,2013,1.7,14.3,110,15279
1237,2023,2.0,13.4,140,25600
1238,2020,1.4,18.2,88,17787
1239,2019,2.2,11.2,126,21814
1240,2016,2.1,10.4,128,21766
1241,2015,1.1,12.8,78,14235
1242,2015,2.2,13.9,159,21973
1243,2013,1.9,11.6,144,16337
1244,2012,1.4,20.7,102,12058
1245,2021,1.7,14.1,127,23753
1246,2021,1.8,19.6,126,20812
1247,2022,1.4,16.0,107,21291
1248,2017,2.2,18.7,173,22036
1249,2020,1.6,17.4,127,23378
1250,2022,2.3,10.8,173,29890
1251,2014,1.2,12.6,80,13885
1252,2023,1.3,13.5,105,21065
1253,2016,1.3,19.9,113,16419
1254,2018,1.3,20.2,90,16299
1255,2022,2.0,11.7,172,27586
1256,2021,1.5,16.8,94,20968
1257,2019,1.6,15.9,96,20082
1258,2012,1.5,12.1,76,12039
1259,2018,1.8,12.3,124,19645
1260,2014,2.2,17.8,139,20739
1261,2020,2.2,19.1,145,23445
1262,2020,2.0,14.0,173,26312
1263,2023,1.0,16.1,72,18257
1264,2015,2.2,12.0,190,21242
1265,2023,2.0,14.7,163,24839
1266,2012,2.4,17.9,181,19690
1267,2017,2.1,15.8,128,18948
1268,2012,1.4,12.9,100,10583
1269,2014,1.2,14.7,92,12127
1270,2023,2.0,15.7,147,26498
1271,2016,1.9,12.5,123,18300
1272,2022,1.8,17.2,112,23978
1273,2021,2.0,15.0,128,22741
1274,2023,2.5,13.1,149,27935
1275,2022,1.6,11.7,123,21855
1276,2018,1.5,14.6,110,18071
1277,2019,1.1,20.6,75,17147
1278,2015,1.8,16.8,129,20664
1279,2022,1.5,20.0,113,20633
1280,2013,1.3,14.7,98,13831
1281,2021,1.2,11.3,86,19425
1282,2023,1.3,15.1,82,23532
1283,2019,1.3,20.9,95,19835
1284,2017,1.1,19.6,84,16824
1285,2021,1.2,15.8,78,17356
1286,2021,2.1,14.7,144,24150
1287,2016,1.6,11.7,117,16433
1288,2016,2.0,20.1,131,18122
1289,2017,1.0,16.8,70,12922
1290,2017,1.2,20.6,81,19513
1291,2023,1.4,21.3,113,23127
1292,2013,1.4,20.7,88,9757
1293,2012,2.1,17.7,134,19034
1294,2022,1.2,16.5,80,19954
1295,2018,2.1,14.7,129,20955
1296,2014,1.6,14.6,127,16804
1297,2015,1.2,16.5,79,14410
1298,2017,2.4,18.0,202,24829
1299,2017,2.3,14.3,151,21577
1300,2015,1.9,12.7,144,19458
1301,2019,1.2,13.8,96,17860
1302,2016,2.1,16.6,170,22939
1303,2021,1.5,19.8,119,19319
1304,2021,2.2,13.1,154,24158
1305,2020,1.0,16.0,88,16511
1306,2019,2.1,12.8,150,23317
1307,2013,1.8,13.7,165,20344
1308,2020,1.8,11.7,135,20948
1309,2012,1.1,16.8,83,11613
1310,2023,2.0,19.5,143,26894
1311,2015,1.7,13.2,100,16222
1312,2020,1.2,14.6,97,21462
1313,2014,1.8,19.9,130,16860
1314,2015,2.3,14.4,170,20229
1315,2016,2.5,17.4,163,24157
1316,2023,2.2,11.9,168,29032
1317,2017,2.3,13.8,158,24359
1318,2017,2.2,9.6,153,22453
1319,2019,2.2,12.8,148,24083
1320,2023,1.6,17.5,111,20510
1321,2017,2.4,18.1,153,21744
1322,2023,1.1,18.8,81,20564
1323,2021,1.9,15.1,127,19919
1324,2021,2.4,17.8,161,29899
1325,2013,1.4,14.3,123,14038
1326,2012,1.9,11.2,139,16071
1327,2020,2.0,13.5,153,22655
1328,2023,1.7,19.2,119,24568
1329,2021,1.2,18.8,89,19766
1330,2012,2.2,10.9,167,17743
1331,2013,1.2,13.2,93,14629
1332,2018,1.2,18.6,88,16208
1333,2017,1.8,14.7,120,21431
1334,2023,2.3,16.3,145,26908
1335,2018,1.6,15.3,112,21086
1336,2020,2.3,19.3,185,23121
1337,2022,1.6,17.1,122,22789
1338,2022,1.2,21.3,99,21855
1339,2020,1.8,20.5,156,22077
1340,2015,1.8,19.8,104,15551
1341,2021,1.9,10.5,133,25669
1342,2015,2.0,15.4,145,18052
1343,2017,1.8,12.5,110,21222
1344,2015,1.8,20.4,157,20347
1345,2015,2.5,9.6,164,22767
1346,2020,1.5,18.8,119,20477
1347,2012,1.6,12.4,120,16057
1348,2015,1.6,18.0,116,15594
1349,2015,1.9,15.3,126,18985
1350,2014,1.5,13.4,79,13970
1351,2018,2.0,11.3,165,22162
1352,2013,1.3,16.3,113,12326
1353,2019,1.1,20.4,78,15261
1354,2023,2.3,17.8,185,29017
1355,2016,1.4,14.4,82,15929
1356,2020,1.7,19.5,134,18002
1357,2019,1.2,15.2,84,15743
1358,2020,1.7,20.5,120,21722
1359,2022,1.9,15.5,145,27541
1360,2015,1.2,11.2,64,12958
1361,2016,1.5,20.7,88,16755
1362,2014,1.4,17.6,115,14173
1363,2016,2.4,15.1,197,25835
1364,2019,2.3,19.8,189,28348
1365,2015,1.8,20.9,121,19652
1366,2022,1.9,15.1,136,22317
1367,2022,1.7,14.8,141,24590
1368,2022,1.5,21.1,85,19761
1369,2020,1.0,12.0,82,18012
1370,2022,1.3,15.5,107,21692
1371,2022,2.2,13.0,115,22064
1372,2021,2.2,15.2,164,25578
1373,2012,2.2,13.2,136,15902
1374,2017,1.1,19.8,82,16138
1375,2016,2.5,18.1,201,25541
1376,2013,1.1,17.5,58,9229
1377,2012,2.4,15.6,149,19325
1378,2018,1.6,14.3,120,19118
1379,2023,1.4,19.3,98,22835
1380,2019,1.5,12.4,104,21155
1381,2017,2.1,20.0,186,22326
1382,2019,1.8,16.3,133,22109
1383,2019,1.7,19.2,127,21383
1384,2019,1.1,15.4,81,14026
1385,2023,1.5,20.9,99,17234
1386,2014,1.9,11.6,146,17654
1387,2013,2.2,18.9,175,18736
1388,2016,1.5,14.4,109,17007
1389,2016,1.8,18.1,110,11923
1390,2012,2.5,13.2,197,23498
1391,2013,1.4,19.5,96,11755
1392,2015,1.4,16.4,96,14400
1393,2015,1.8,13.5,133,19181
1394,2015,2.1,14.4,174,20652
1395,2020,2.0,14.8,179,23804
1396,2021,2.1,20.5,169,24114
1397,2022,1.9,19.8,146,23036
1398,2017,1.6,18.0,88,17914
1399,2020,1.0,13.9,75,20421
1400,2019,2.0,15.0,122,22929
1401,2014,1.7,18.1,123,16370
1402,2021,1.2,20.5,77,19427
1403,2022,1.2,12.4,74,18745
1404,2023,2.1,18.9,172,28005
1405,2018,2.2,13.9,149,24057
1406,2017,2.1,16.1,147,22095
1407,2022,1.2,19.4,95,21821
1408,2013,1.1,15.8,84,11236
1409,2020,1.9,13.4,148,25657
1410,2020,1.4,16.5,101,16860
1411,2022,2.0,10.3,135,23043
1412,2019,2.4,12.2,155,25023
1413,2020,1.8,13.8,116,20011
1414,2015,2.4,19.5,196,24401
1415,2018,2.3,12.7,136,21414
1416,2018,1.7,16.9,120,23108
1417,2022,1.5,17.0,93,19523
1418,2013,1.6,11.9,125,13829
1419,2014,1.2,19.8,84,11708
1420,2018,1.2,11.1,80,15612
1421,2017,1.8,18.8,138,18870
1422,2015,2.4,17.0,160,22603
1423,2012,1.6,13.2,116,13773
1424,2020,2.5,19.3,208,28462
1425,2018,1.7,13.0,128,21683
1426,2021,1.1,15.8,94,19675
1427,2021,1.4,12.9,103,21517
1428,2018,2.4,9.6,187,25481
1429,2012,1.7,18.9,108,14763
1430,2021,1.2,19.7,71,17988
1431,2016,2.2,16.9,146,22515
1432,2013,2.1,10.3,170,18726
1433,2013,2.0,17.4,139,14634
1434,2019,1.8,16.4,141,21486
1435,2018,1.9,15.2,136,20358
1436,2022,2.2,16.6,139,23941
1437,2023,2.2,17.5,127,27964
1438,2012,2.1,12.9,120,16199
1439,2019,2.4,12.9,195,25672
1440,2017,1.7,15.4,129,22063
1441,2023,2.3,12.0,161,28285
1442,2013,1.8,17.7,125,16048
1443,2020,1.0,15.1,87,17452
1444,2016,1.3,13.5,101,18727
1445,2022,2.4,13.4,201,30557
1446,2016,1.5,13.3,114,17987
1447,2016,1.3,21.1,86,15073
1448,2017,1.8,12.7,117,20353
1449,2020,1.9,20.3,153,24942
1450,2014,1.8,12.7,111,18352
1451,2013,1.7,13.3,137,16794
1452,2015,2.2,19.3,162,19910
1453,2012,1.6,17.3,124,13958
1454,2013,1.9,13.3,151,18584
1455,2014,2.3,13.1,175,21800
1456,2014,1.1,20.7,63,8632
1457,2012,1.5,17.2,113,13231
1458,2015,1.6,15.0,126,18042
1459,2022,1.7,16.7,128,22648
1460,2023,1.9,17.0,127,26595
1461,2023,1.7,13.8,114,21845
1462,2018,1.1,20.4,96,16113
1463,2016,2.0,16.7,126,20029
1464,2020,1.3,21.6,74,16994
1465,2013,1.5,20.1,92,12489
1466,2017,2.0,15.0,127,21672
1467,2019,2.3,12.1,198,27356
1468,2023,1.5,13.6,113,24800
1469,2016,1.1,19.6,87,15227
1470,2016,1.4,16.9,110,14850
1471,2022,2.4,13.9,185,32112
1472,2013,1.6,19.0,115,14543
1473,2021,1.0,12.5,83,18653
1474,2012,2.2,13.4,142,18454
1475,2023,1.4,21.1,99,21241
1476,2019,2.4,13.8,175,25836
1477,2019,2.2,11.6,182,24057
1478,2012,2.4,16.9,171,19355
1479,2017,2.1,11.5,119,19315
1480,2012,1.4,15.0,110,12817
1481,2015,1.0,13.0,67,12355
1482,2019,1.9,14.6,138,23735
1483,2023,2.2,15.4,176,28949
1484,2019,2.1,17.8,157,24283
1485,2020,2.5,9.4,184,28171
1486,2022,1.3,16.4,86,20733
1487,2023,1.6,17.8,132,26339
1488,2023,1.7,18.2,148,23544
1489,2017,1.8,17.5,120,18553
1490,2023,1.0,20.4,95,19165
1491,2013,1.4,11.5,110,15681
1492,2014,2.1,15.3,144,18749
1493,2012,2.1,16.0,178,18909
1494,2020,1.0,21.2,78,18680
1495,2019,1.5,18.1,105,20153
1496,2015,1.9,13.1,124,19773
1497,2013,1.5,19.1,118,11761
1498,2023,1.6,18.0,98,22932
1499,2018,1.4,20.4,85,15816
1500,2021,2.1,15.3,160,24845
1501,2014,1.0,18.2,63,11271
1502,2014,1.8,18.7,141,16749
1503,2014,1.8,12.5,144,18278
1504,2022,1.5,17.1,121,23097
1505,2019,1.0,20.8,67,14676
1506,2019,1.5,15.9,112,20138
1507,2022,1.5,19.4,114,23150
1508,2018,1.2,15.1,90,17434
1509,2013,1.4,21.0,90,11223
1510,2017,1.3,16.6,91,15542
1511,2020,2.3,10.7,141,23302
1512,2020,2.4,15.4,159,27097
1513,2021,1.2,13.6,104,22217
1514,2012,1.9,11.0,130,16701
1515,2018,1.2,20.4,102,16799
1516,2021,1.5,19.0,79,17292
1517,2019,1.8,12.7,140,24152
1518,2017,2.1,20.8,134,18783
1519,2023,1.2,17.7,76,19809
1520,2022,1.6,18.5,117,22568
1521,2016,1.2,16.1,73,13535
1522,2014,1.7,13.7,106,15208
